"基金经理","年化Alpha","最大回撤","波动率","夏普Sharp","重仓股集中度","重行业集中度","总交易日","任职时间","规模中间值","规模最大值","成长Alpha","成长天数","价值Alpha","价值天数","牛市Alpha","牛市天数","熊市Alpha","熊市天数"
"丁丹",-0.005786388431057494,-0.1193,0.0949670461537987,-0.06093048763132492,33.62893888950348,57.01124334335327,433,"20160301-20171204",77188269.94,234191986.66,nan,0,-0.005786388431057494,433,-0.005786388431057494,433,nan,0
"丁俊",-0.05885255214543845,-0.6996,0.5153683215979904,-0.11419512934546643,29.32628157403734,53.14593580563862,1718,"20070806-20160812",5058240435.72,12746820575.76,-0.32434132841669694,871,0.21415892853020085,847,-0.41757887990954945,866,0.30576833968991457,852
"丁杰人",0.017715474646858284,-0.3012,0.3387874607399131,0.05229082153208274,39.243614141757675,72.87039307753246,1192,"20111010-20170112",5291911783.58,9622392404.08,0.09614238498944401,439,-0.028007518235472584,753,-0.06715498929953964,755,0.16434522357026873,437
"丁楹",0.006245693407186927,-0.2129,0.16206834839036652,0.03853740393616657,24.983412528038023,nan,447,"20020918-20061109",7705722680.57,10043275468.26,-0.15926688211714687,267,0.25175601376828194,180,0.006245693407186927,447,nan,0
"丁经纬",-0.31042478246970834,-0.1901,0.09790550244030172,-3.170657161572621,56.20390236377716,79.81695938110352,144,"20140821-20150328",1900953770.36,2717853279.81,nan,99,nan,45,-0.31042478246970834,144,nan,0
"丁骏",-0.05873721544222451,-0.6147,0.5475552806088306,-0.10727175414492246,27.64987361431122,nan,1317,"20070227-20120720",3121757761.64,11392588371.53,-0.5066598584303115,630,0.3520215401363705,687,-0.5776012252764386,502,0.26085754889737756,815
"万志勇",-0.017131539741609685,-0.3501,0.336447727437538,-0.05091887489354548,38.44936744868755,63.90485870838165,1443,"20081021-20150928",2557204029.17,5401773204.39,-0.15093302304125142,774,0.13767017636290813,669,-0.14281411700417726,861,0.1688009328066214,582
"万文俊",-0.16400155968457325,-0.2179,0.17760252557966993,-0.9234190738521031,33.85934269428253,nan,176,"20090911-20100603",310625686.42,456079747.01,-0.16400155968457325,176,nan,0,nan,71,nan,105
"万梦",0.08905138819235148,-0.0457,0.04831616919663225,1.8430970350720306,23.049360156059265,50.93924045562744,191,"20170401-20180116",177973832.7,196459204.93,nan,0,0.08905138819235148,191,0.08905138819235148,191,nan,0
"万民远",-0.13599553952987403,-0.1865,0.08904029623505692,-1.527348237598629,55.16569113731384,85.5767810344696,334,"20160826-20180116",1233490099.9,1428664776.62,nan,0,-0.13599553952987403,334,-0.13599553952987403,334,nan,0
"丛林",0.09387100290317472,-0.1879,0.2036079262827359,0.4610380578839682,52.513840317726135,50.47112274169922,388,"20120320-20131030",1549634826.43,4586926304.62,0.15988941456993194,173,0.040749211189923584,215,-0.08280879844091445,216,0.3157479627306354,172
"严菲",-0.1431459957565671,-0.6334,0.3161614953890196,-0.45276226815803017,44.505789921833916,73.16761430104573,1315,"20120112-20180116",2178403773.23,3216424731.5,-0.24163565484556035,529,-0.07685969848165985,786,-0.22399729226699816,1087,0.2423161064664094,228
"严鸿宴",-0.01892942515964728,-0.2538,0.246738665952195,-0.07671851951779138,21.357099036375683,69.5805148601532,708,"20111107-20141010",16986445831.8,18422224713.81,-0.04911149099452105,404,0.021180951805119294,304,-0.14357997934975508,447,0.19455255845329622,261
"乐琪",-0.008900067230338593,-0.2131,0.2507826310731812,-0.035489169214998194,41.108254889647164,72.65575889746349,356,"20141117-20160429",999758932.725,1519383719.3799999,nan,112,0.188998458731982,244,-0.3086585287936681,200,0.37540565272264825,156
"乐瑞祺",0.04295183189947102,-0.1693,0.16440982530190767,0.26124857088436215,40.10303974151611,62.5157476067543,634,"20111122-20140707",327401438.17,3201253491.83,-0.012041097174904496,341,0.10695384150480221,293,-0.06036091137085289,384,0.20164020556268852,250
"乔培涛",-0.05284252500987527,-0.0869,0.07429321687881121,-0.7112698470988704,22.210325052340824,41.7995867729187,336,"20160824-20180116",183640725.69,895460552.995,nan,0,-0.05284252500987527,336,-0.05284252500987527,336,nan,0
"乔春",nan,-0.119,0.05046054158280965,nan,33.75764310359955,56.22082436084747,107,"20170316-20170818",682306655.04,1154726581.62,nan,0,nan,107,nan,107,nan,0
"乔林建",-0.07424958609035705,-0.3999,0.235734251025126,-0.31497156551273947,25.150403664225625,62.397272041865754,1090,"20130105-20171103",1150371262.345,6793183303.76,-0.03648168258067072,510,-0.10745929434887433,580,-0.09702441385805206,1005,nan,85
"于利强",-0.06699132412786328,-0.288,0.31991357300827805,-0.20940444476274164,42.318691704008316,54.1981162097719,730,"20150115-20180116",614846526.81,1555164383.905,nan,104,0.021189698601523883,626,-0.23529539239598352,574,0.5522813373202199,156
"于晖",-0.02660941267265394,-0.1371,0.1452329579731904,-0.18321883024351787,37.45253503322601,nan,402,"20100210-20111012",1970415603.65,2327813700.01,-0.03786596015000518,170,-0.018361080469422423,232,nan,0,-0.02660941267265394,402
"于航",-0.0009396521981617089,-0.2223,0.2918812714565832,-0.003219295960554565,48.968733102083206,80.80870674178004,670,"20150417-20180116",1600078127.69,3416363019.31,nan,44,-0.014163417883669456,626,-0.0615397101116981,514,0.1987297693887464,156
"于进杰",0.04392047966598256,-0.2727,0.23274454693248753,0.18870680428324973,42.65823154896498,65.23307880488309,1274,"20101231-20160331",2233617473.61,5916166352.62,-0.09443312782737147,529,0.14216082646327674,745,-0.10179742114411496,652,0.19666657504891416,622
"于鑫",0.03189199938271172,-0.3408,0.33453717711720826,0.09533170470777919,33.96168575968061,55.64816371599833,1813,"20070720-20150101",93501791.28,14184492821.86,-0.0797436473892723,987,0.16528713662720118,826,-0.09832938612119585,909,0.1628336359126364,904
"于雷",-0.09718496436359514,-0.4912,0.28008371565679435,-0.34698541518451753,37.533655272080345,77.60980479533856,1082,"20130308-20180116",205170570.13,1905142514.88,-0.17699283372563585,510,-0.026027598324013218,572,-0.1314138840544287,1025,nan,57
"于鹏",nan,-0.0491,0.0525968342356382,nan,nan,nan,32,"20171124-20180116",283106414.84,289171444.46,nan,0,nan,32,nan,32,nan,0
"付伟",-0.03285105899069741,-0.1913,0.1396226781141752,-0.2352845500057931,25.867800337927687,70.36325804392497,580,"20150825-20180116",369030915.21,567972071.48,nan,0,-0.03285105899069741,580,-0.10133169203492814,476,nan,104
"付伟琦",-0.0405681656387656,-0.115,0.0787119023107784,-0.5154006503182988,51.13587963581085,60.025885581970215,222,"20170217-20180116",250892206.69,261900304.72,nan,0,-0.0405681656387656,222,-0.0405681656387656,222,nan,0
"付勇",-0.039765263496234896,-0.4262,0.35885475559743035,-0.110811582892451,31.796844104925793,nan,1578,"20060111-20121113",5902564049.92,14184492821.86,-0.255677145422212,735,0.14848530971324675,843,-0.22644532919329147,771,0.13858706692809045,807
"付娟",0.08817116884940479,-0.3677,0.36776994950378616,0.23974544132376718,40.620917270580925,67.68910725381639,1393,"20120424-20180116",1471268834.19,2245270408.27,0.2617720272145627,529,-0.018119171515373726,864,0.05241242035588329,1087,0.21519652706005138,306
"付斌",-0.04901688709091333,-0.3925,0.3833207876460543,-0.12787432529272033,42.52971873018477,61.97549598746829,731,"20150114-20180116",2200702588.25,3651197683.94,nan,105,0.10332523342461077,626,-0.2568217675177036,575,0.7169305888411678,156
"付柏瑞",0.01120959182097668,-0.2698,0.2721333178095826,0.04119154505300327,27.382444960730417,61.33916584650675,1218,"20090408-20140415",1049482973.48,7122560745.03,-0.021438844660396632,665,0.05047036986819779,553,-0.0830680637828814,508,0.0786645904783851,710
"付浩",0.10256925518146667,-0.2009,0.3343095368831784,0.30680924073460886,48.970336174964906,75.92767095565796,1051,"20040214-20140510",461521075.17,2396893262.09,0.02188301526534325,406,0.15335780309766198,645,0.04067302852176826,586,0.18057181178917253,465
"付琦",-0.16648959090149615,-0.3215,0.24178619574818544,-0.688581870384739,51.07329478263855,56.360801219940186,310,"20141220-20160330",89168152.63,239804545.68,nan,112,-0.23937589361763278,198,-0.1157430207135853,154,-0.2165855640357157,156
"代云锋",nan,-0.0676,0.034502353890034296,nan,nan,nan,60,"20171017-20180116",147439222.34,214915155.68,nan,0,nan,60,nan,60,nan,0
"代瑞亮",-0.039040115192221475,-0.3062,0.23058912920380703,-0.1693059656672528,52.9333427974156,82.46824066979545,613,"20150709-20180116",1962849488.0,3244652255.8,nan,0,-0.039040115192221475,613,-0.12426420503989134,476,0.25706694150479176,137
"任壮",-0.11337591276375142,-0.4656,0.23811444547262509,-0.47614042289083097,42.78200502906527,76.88320791721344,1218,"20090119-20140124",1370353546.49,3927471786.43,-0.16190915550372575,665,-0.05501315250682028,553,-0.28367617037948983,508,0.008472722262720722,710
"任志强",0.013117963867380896,-0.3695,0.2582024470386503,0.05080495563784207,31.820396868387856,nan,1321,"20070907-20130208",13971763374.73,31412884325.3,-0.19214012931885105,575,0.17132627966105812,746,-0.18856958471215962,417,0.10615303882055405,904
"任泽松",0.1172341757124956,-0.5084,0.46774372297331623,0.25063762473875795,62.524720042943954,81.59495888863292,1228,"20121221-20180116",4868601150.95,11033993929.45,0.603878768080038,529,-0.2510562239476325,699,0.06818453583171202,1072,0.4542932395086508,156
"任相栋",0.19218056078880386,-0.1426,0.1876603038497909,1.0240874433552611,40.831713239351906,73.48579633235931,726,"20150121-20180116",1215632042.4950001,2085100265.9050002,nan,100,0.17007638877936468,626,0.12423897906155859,570,0.44042864786912383,156
"任竞辉",-0.17521038323546761,-0.3544,0.21269381570518586,-0.8237681131186536,42.39779637257258,70.86849856376648,419,"20121217-20151015",2275688772.87,5135788454.58,-0.13583751103604974,265,-0.2429624035786221,154,-0.2928656002852477,336,nan,83
"伍军",-0.17567384082636253,-0.4631,0.2268607883069416,-0.7743684668356025,40.30776584148407,nan,498,"20060317-20080401",2460486776.96,16588743549.52,-0.3919553024509778,301,0.15478666652901368,197,-0.28095208152269413,447,nan,51
"伍卫",-0.08502693938639053,-0.4382,0.25064864966841754,-0.33922759806953856,43.321020817756654,nan,923,"20060926-20110930",4627424276.639999,22563834267.9,-0.3153943982091224,526,0.2201954367868004,397,-0.20248493237321,494,0.050227719204492566,429
"伍文友",-0.009002535178287993,-0.2209,0.1773772509587546,-0.05075360639330996,48.0008442401886,67.54787383760724,576,"20150829-20180116",4542672629.37,9407892504.58,nan,0,-0.009002535178287993,576,-0.030739489808499693,476,nan,100
"伍旋",0.01374402829911377,-0.2445,0.21938470433553928,0.06264806993149752,38.57069639861584,69.28907562891642,1467,"20111228-20180116",212068805.46,667008521.25,-0.04452735111172437,529,0.04660709835064193,938,-0.04984058733068607,1087,0.19562949458751486,380
"何云峰",-0.019728419759168496,-0.5284,0.415490305597237,-0.047482262506246285,36.830064633488654,85.59523086547851,1684,"20080101-20141206",4730641651.96,18016363126.11,-0.16012608504419457,942,0.15851228199082454,742,-0.2817102662294695,780,0.20631786369971955,904
"何以广",0.05527081658851161,-0.1944,0.21508432998161903,0.25697277246201533,36.51319193840027,65.64484392106533,644,"20150526-20180116",449594942.1,617974353.35,nan,18,0.07280913942459362,626,0.020064309712263577,488,0.16540399194497984,156
"何光明",0.06602995422442244,-0.1443,0.13656754900211812,0.48349666305718303,37.199027856191,nan,255,"20041215-20060121",594695945.72,1367845350.72,nan,118,0.3076875429158038,137,0.06602995422442244,255,nan,0
"何多粮",-0.33755404686739315,-0.4974,0.15695220422581127,-2.15068051151257,30.892106975827897,67.01685508659908,428,"20130913-20150618",754253491.87,878356805.58,-0.2654497844714816,383,nan,45,-0.35416571570303435,422,nan,6
"何奇",0.12166675779803791,-0.0799,0.13872151498334584,0.8770575913379015,46.99221442426954,66.01734106881278,596,"20150803-20180116",3540258553.55,5113070225.58,nan,0,0.12166675779803791,596,0.0837263471614043,476,0.2721637199900169,120
"何奇峰",-0.11914814213808533,-0.122,0.06684077222496328,-1.7825668102258494,30.26372528076172,47.99526858329773,249,"20161223-20171228",3129926799.49,4503214640.0,nan,0,-0.11914814213808533,249,-0.11914814213808533,249,nan,0
"何帅",0.1412068647200264,-0.0956,0.13255412378360582,1.0652770407244827,43.724943365369526,56.76093121937343,566,"20150916-20180116",149948712.95,1068768409.42,nan,0,0.1412068647200264,566,0.06544041519749352,476,nan,90
"何旻",0.001772280923694606,-0.6651,0.6172673040759861,0.002871172524434304,5.973879256285727,nan,823,"20070815-20101229",3632136818.89,5352805074.42,-0.4120668028904574,570,0.9341370152085433,253,-0.6577552832034673,386,0.5843298089627896,437
"何晓春",0.06245609086249408,-0.2725,0.1886519204650073,0.33106522694572277,62.242840925852455,74.59824719212271,944,"20120726-20160615",591183342.83,909188435.21,0.02260262312588058,529,0.11325725817012902,415,0.0005840234629217777,702,0.24193622026125347,242
"何景风",-0.06452018639216305,-0.4207,0.3582252075272586,-0.18011068187392557,42.92277673312596,69.51954170635769,494,"20150131-20170214",67841204.48,154101572.42,nan,92,-0.16239757414991854,402,0.061191753291759535,338,-0.3368960557073291,156
"何江旭",0.007741049831891403,-0.3863,0.4604841020311366,0.016810677714489207,39.49186398495328,74.3097791671753,2238,"20040618-20140730",4615087411.2300005,11028988272.71,-0.12235949781947011,1203,0.15895936753680695,1035,-0.09228694224332049,1401,0.1751714164954183,837
"何滨",0.03833721339980267,-0.511,0.4769477122796817,0.08038032768112276,32.11422976425716,nan,1291,"20080425-20130816",2365553623.785,4625350469.93,-0.1941841783522823,606,0.24404226946077073,685,-0.39308187542400996,454,0.2723447000497557,837
"何潇",0.09153130041107203,-0.1437,0.1690783043884064,0.5413544969129007,35.50964146852493,51.07351779937744,633,"20111201-20140715",1581585914.275,2081997341.67,0.09981825716785542,347,0.08147684588448528,286,0.025988368156971992,390,0.19672366081888693,243
"何肖颉",-0.06816448444224202,-0.5103,0.4282009661855302,-0.15918806781185033,34.323278458913165,66.28562690661504,1186,"20070706-20180116",4973361936.07,33153711112.96,-0.4272582798180261,363,0.0902207497271495,823,-0.23222511649411196,917,0.49110540251524715,269
"何贤",0.10005723125590794,-0.1575,0.10906600263710954,0.9174007375040958,58.56442451477051,nan,250,"20101216-20111222",100361528.69,149929133.18,nan,0,0.10005723125590794,250,nan,0,0.10005723125590794,250
"何震",0.02231840626802262,-0.3635,0.29557642435728837,0.07550807313726911,39.22351925373077,nan,751,"20040726-20080213",10760963079.94,27544784766.96,-0.29541850813828063,431,0.45027031285901237,320,0.015973344759164274,734,nan,17
"何龙",-0.07587850428738639,-0.2722,0.2519572274318944,-0.30115629172771724,44.95397366796221,55.12670179775783,576,"20150829-20180116",2576970909.74,4995423131.36,nan,0,-0.07587850428738639,576,-0.13178060411665848,476,nan,100
"佘中强",-0.0004554583100699187,-0.2498,0.27767335577220353,-0.0016402665239640983,45.933979648810165,65.29548058143028,939,"20130731-20180116",274302649.72,5822022160.6,0.08170173148963006,415,-0.06552269832319117,524,-0.004019810917952513,790,0.018442787060582597,149
"余广",0.06770162879901848,-0.2708,0.2386508028859713,0.28368489852249396,47.47357423016519,73.36382158491347,1852,"20100529-20180116",1905328101.745,4148798114.8625,0.01028181412260259,628,0.09716212194999012,1224,0.033921933110680785,1087,0.11569970620192468,765
