"基金经理","年化Alpha","最大回撤","波动率","夏普Sharp","重仓股集中度","重行业集中度","总交易日","任职时间","规模中间值","规模最大值","成长Alpha","成长天数","价值Alpha","价值天数","牛市Alpha","牛市天数","熊市Alpha","熊市天数"
"丁丹",0.024257620235809983,-0.1598,0.17765278570486606,0.13654511602260536,41.61902448109218,67.79766832079206,565,"20150811-20171204",65670297.16,259918569.16,nan,0,0.024257620235809983,565,-0.012073781018267823,451,nan,114
"丁靓",-0.22584343605354168,-0.1236,0.09431866842082497,-2.394472269751392,41.4462366104126,8.742615620605648,132,"20160527-20161210",581635523.98,826715204.28,nan,0,-0.22584343605354168,132,-0.22584343605354168,132,nan,0
"万志勇",0.10310825197165446,-0.1038,0.11615365241385246,0.8876884181332708,23.06339383125305,nan,252,"20110506-20120518",1897589968.12,2976005818.18,nan,0,0.10310825197165446,252,nan,0,0.10310825197165446,252
"丘栋荣",0.20213148077621707,-0.2242,0.2103761317946826,0.960809950500887,48.319195834073156,71.3991246656938,810,"20140916-20180110",2131834887.3,7660673816.47,-0.3834398753560923,139,0.3234346380077982,671,0.12154972536396724,654,0.5399549938506487,156
"付斌",nan,-0.0441,0.04697589330845705,nan,nan,nan,74,"20170920-20180110",328753294.2,328787835.45,nan,0,nan,74,nan,74,nan,0
"伍旋",0.03560165575882903,-0.1986,0.19987984793969324,0.1781152833854996,33.830953538417816,67.36990547180176,663,"20150428-20180110",2001311535.18,4176399857.2,nan,37,0.050051962134468865,626,-0.03415688839094649,507,0.2623169242455994,156
"何如克",0.11682945372522499,-0.058,0.06811694223361286,1.7151306252789271,27.534512221813202,nan,142,"20040827-20050806",1736296267.62,1924610187.53,nan,5,0.16114879932696036,137,0.11682945372522499,142,nan,0
"何珅华",0.004047732874896643,-0.2203,0.2543336406550918,0.015915051050544568,36.15045758656093,61.95093049321856,625,"20150623-20180110",1801837884.31,2908449505.42,nan,0,0.004047732874896643,625,-0.0651833828507139,476,0.22521559250839085,149
"何肖颉",0.009183045108796545,-0.1761,0.14843368992340544,0.06186631292084141,37.60204682085249,60.61077864964803,722,"20150127-20180110",2288990879.94,4971565540.39,nan,96,0.037253204540796475,626,-0.041212004090279156,566,0.19202662104903298,156
"佘中强",0.09203918859686562,-0.097,0.15551856874033337,0.5918212168640893,48.98889640967051,nan,353,"20160801-20180110",1223819751.2,1669479538.0,nan,0,0.09203918859686562,353,0.09203918859686562,353,nan,0
"余昊",0.08083416102290927,-0.127,0.15788932941552436,0.5119672198377284,43.529069662094116,8.742615620605648,390,"20160607-20180110",982205163.49,1864955982.18,nan,0,0.08083416102290927,390,0.08083416102290927,390,nan,0
"侯玉琦",-0.004560723033753716,-0.3273,0.23646484572513754,-0.0192871080678733,43.02480826377869,74.5171726544698,1157,"20130413-20180110",156730603.97,454791356.34,0.014561909729603525,486,-0.018411094901103372,671,0.014235363016684918,1001,-0.12516894185740138,156
"修世宇",-0.09119336845251676,-0.3483,0.28758738529796535,-0.3170979434930102,55.526751446723935,77.12420229911804,789,"20141022-20180110",1957521503.31,4282776709.54,nan,118,-0.19194524529337562,671,-0.03619985731748725,633,-0.3143401155581172,156
"光磊",0.035621136126313416,-0.1905,0.21304206797224573,0.16720235803829128,35.650450721383095,70.09391593933105,676,"20150409-20180110",274137726.67,1547886218.23,nan,50,0.03440483933984996,626,0.05698675495998436,520,-0.03559759331925638,156
"兰乔",-0.08037282111826895,-0.1419,0.09401501110814267,-0.8548934916980276,50.7741273244222,65.82582871119182,373,"20160704-20180110",84780888.1,290056000.77,nan,0,-0.08037282111826895,373,-0.08037282111826895,373,nan,0
"冯士祯",0.05599096202450379,-0.0527,0.07077161808177813,0.7911499488369056,34.99339151382446,70.50732755661011,321,"20160914-20180110",714549863.05,738301068.96,nan,0,0.05599096202450379,321,0.05599096202450379,321,nan,0
"冯明远",0.18849628218213374,-0.0719,0.12010361490857596,1.5694472004495363,42.76960110664368,88.58194518089294,303,"20161019-20180110",87608291.25,551601149.06,nan,0,0.18849628218213374,303,0.18849628218213374,303,nan,0
"冷文鹏",0.056601181298044714,-0.0363,0.05748580430788037,0.984611452853685,21.870638966560364,71.73817777633667,226,"20170213-20180110",161933298.56,283509669.6,nan,0,0.056601181298044714,226,0.056601181298044714,226,nan,0
"凌晨",-0.041563945908354244,-0.2232,0.2548911646568817,-0.16306546350598297,37.74353907505671,73.80917979280154,513,"20150210-20170321",2552524199.55,3457625451.6899996,nan,86,0.04177918685804388,427,-0.1744188224073824,357,0.26246932915672927,156
"刘伟林",0.06283029561211195,-0.184,0.25963650339550653,0.24199330521872736,48.232468008995056,71.85684802532197,516,"20151202-20180110",2253663292.44,2909646984.02,nan,0,0.06283029561211195,516,-0.01917353409572521,476,nan,40
"刘天任",-0.11378447082773677,-0.4156,0.2971910237017734,-0.38286644532682024,55.79214702712165,76.55582871701982,659,"20141211-20170822",5736500923.16,13159624022.125,nan,112,-0.25456748780704874,547,-0.11912567762954726,503,-0.096562502742412,156
"刘彦春",0.10399306876160533,-0.1175,0.176754156288823,0.5883486473250265,41.72787117958069,65.52559890747071,324,"20150710-20161108",225496808.68,259918569.16,nan,0,0.10399306876160533,324,-0.04650047929275448,188,0.3120282675426321,136
"刘忠勋",0.04994562715243006,-0.2014,0.16397724254939422,0.30458877327068806,23.989748968018425,73.21110813958305,911,"20110816-20150521",200830977.215,514443331.18,0.15508636182690677,509,-0.08318032794535259,402,0.061583745872711905,597,0.027818375954951458,314
"刘斌",0.02749486409654754,-0.107,0.19524738753272933,0.14082065037586522,18.446903077264626,64.33307913939159,896,"20140515-20180110",510415758.51,1104956347.48,-0.1048519789119581,225,0.07187346272086008,671,-0.0469106189533227,740,0.38044395035875267,156
